country_name,top_country,population,health_expenditure_per_person,edu_expenditure_per_person,political_stability,gov_effectiveness,regulatory_quality,rule_of_law,control_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,financial_freedom_score
Bolivia,0,11000000,446,227.5943518,-0.3,-0.39,-0.9,-1.21,-0.66,11.4,23.1,19,44.1,40
Bosnia and Herzegovina,0,3900000,1102,NA,-0.38,-0.48,-0.15,-0.21,-0.52,43.7,28.4,39.5,61.4,60
Botswana,0,2200000,970,NA,1.03,0.43,0.46,0.51,0.8,54.7,56.6,57.7,69.9,70
Brazil,0,209000000,1392,715.4000087,-0.41,-0.29,-0.11,-0.28,-0.53,55.5,31.4,55.8,51.4,50
Brunei,0,400000,2083,1392.602216,1.19,1.14,0.72,0.65,0.71,NA,NA,NA,NA,NA
Bulgaria,0,7000000,1492,NA,0.37,0.26,0.63,-0.04,-0.16,42.5,38.2,63.6,68.3,60
Burkina Faso,0,19000000,96,32.09384426,-0.92,-0.59,-0.44,-0.4,-0.11,47.1,31.8,42.1,60,40
Burundi,0,11000000,64,NA,-1.97,-1.34,-0.84,-1.4,-1.28,21.7,26.2,17.6,50.9,30
Cabo Verde,0,500000,310,175.2056707,0.9,0.16,-0.2,0.41,0.84,52,42.8,42.1,60,60
Cambodia,0,16000000,210,20.79055783,0.17,-0.66,-0.5,-1.06,-1.29,24.5,17.7,36,58.7,50
Cameroon,0,24000000,163,NA,-1.08,-0.82,-0.82,-1.02,-1.18,29.4,23.4,40.6,51.9,50
Canada,2,37000000,4600,NA,1.11,1.85,1.89,1.8,1.92,77.1,78.3,87.5,77.7,80
Central African Republic,0,4900000,32,NA,-1.94,-1.77,-1.48,-1.73,-1.17,28.2,24.6,17.9,49.2,30
Chad,0,15000000,100,NA,-1.34,-1.46,-1.21,-1.3,-1.43,24.1,23.1,25.1,49.3,40
Chile,0,18000000,1903,698.7086352,0.38,0.85,1.34,1.01,1.04,63.4,61.2,67.9,75.2,70
China,0,1386000000,762,NA,-0.25,0.42,-0.15,-0.26,-0.27,65.4,47.3,46.7,57.8,20
Colombia,1,49000000,853,369.1722892,-0.79,-0.07,0.34,-0.36,-0.37,36.4,33.4,60.7,68.9,70
